2025-08-09 11:51:29 | Lat: 23.8105035 | Lng: 90.4213356 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 11:51:40 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:01:44 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:12:20 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:24:18 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:27:50 | Lat: 23.7834079 | Lng: 90.4251832 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 12:35:59 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:47:27 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 12:56:13 | Lat: 23.7828521 | Lng: 90.4253456 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 13:08:11 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 13:09:00 | Lat: 23.7828618 | Lng: 90.4256483 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 13:19:00 | Lat: 23.782798 | Lng: 90.4257107 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 13:29:00 | Lat: 23.7828391 | Lng: 90.4256783 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 13:35:22 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 13:46:54 | Lat: 23.7844481 | Lng: 90.4238117 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 13:49:57 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 13:59:57 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 14:09:57 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 14:19:57 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 14:30:20 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 14:39:02 | Lat: 23.7845581 | Lng: 90.4247267 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 14:41:18 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 14:51:18 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:01:18 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:11:28 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:20:52 | Lat: 23.7844767 | Lng: 90.4237838 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 15:21:28 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:30:52 | Lat: 23.7844789 | Lng: 90.42378 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 15:31:28 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:40:52 | Lat: 23.7844819 | Lng: 90.4237915 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 15:41:28 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 15:50:52 | Lat: 23.7844806 | Lng: 90.4237931 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 15:51:28 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 16:00:52 | Lat: 23.7844806 | Lng: 90.4237931 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 16:02:21 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 16:10:52 | Lat: 23.7844834 | Lng: 90.4237881 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 16:20:52 | Lat: 23.7844801 | Lng: 90.4237857 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 16:29:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 16:30:52 | Lat: 23.784482 | Lng: 90.4237967 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 16:39:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 16:49:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 16:58:04 | Lat: 23.7840897 | Lng: 90.4226809 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 16:59:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:09:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:19:26 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:22:27 | Lat: 23.7844748 | Lng: 90.4238213 | Device Model: CPH2687 | Device ID: 21441bb1e4a32bd5 | User: 77
2025-08-09 17:29:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:39:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:49:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 17:59:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 18:09:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 18:19:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 18:39:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 18:49:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
2025-08-09 18:59:25 | Lat: 23.8019126 | Lng: 90.4234229 | Device Model: M2004J19PI | Device ID: dbd6c26faf508c94 | User: 110
